city,variable,lead_days,model,mae,rmse,bias,n
Ahmedabad,rainfall,3,gem,0.6506,1.8009,-0.0466,1008
Ahmedabad,rainfall,3,gfs,0.4245,1.6535,0.3281,1008
Ahmedabad,rainfall,3,icon,0.7238,2.3251,-0.1563,1008
Ahmedabad,temperature,1,ecmwf,0.8365,1.0998,0.552,1008
Ahmedabad,temperature,1,gem,1.4093,1.7009,1.177,1008
Ahmedabad,temperature,1,gfs,1.2577,1.5789,-0.8466,1008
Ahmedabad,temperature,1,icon,0.7393,1.0071,0.2242,1008
Ahmedabad,temperature,2,ecmwf,0.9278,1.1707,0.555,1008
Ahmedabad,temperature,2,gem,1.5247,1.8233,1.3253,1008
Ahmedabad,temperature,2,gfs,1.2019,1.5743,-0.5765,1008
Ahmedabad,temperature,2,icon,0.8872,1.1976,0.3652,1008
Ahmedabad,temperature,3,ecmwf,0.9901,1.2781,0.5127,1008
Ahmedabad,temperature,3,gem,1.6509,1.9754,1.336,1008
Ahmedabad,temperature,3,gfs,1.2567,1.6493,-0.6101,1008
Ahmedabad,temperature,3,icon,0.9627,1.3059,0.4371,1008
Ahmedabad,wind_speed,1,ecmwf,2.5397,3.2851,-1.8754,1008
Ahmedabad,wind_speed,1,gem,3.7457,4.707,-2.6225,1008
Ahmedabad,wind_speed,1,gfs,7.6731,8.5068,-7.5348,1008
Ahmedabad,wind_speed,1,icon,2.118,2.7755,1.2144,1008
Ahmedabad,wind_speed,2,ecmwf,2.7637,3.5751,-2.07,1008
Ahmedabad,wind_speed,2,gem,3.7107,4.6854,-2.2853,1008
Ahmedabad,wind_speed,2,gfs,8.0077,8.9093,-7.7194,1008
Ahmedabad,wind_speed,2,icon,2.1949,2.8231,0.9668,1008
Ahmedabad,wind_speed,3,ecmwf,3.1946,4.1583,-2.3915,1008
Ahmedabad,wind_speed,3,gem,3.5463,4.4648,-1.712,1008
Ahmedabad,wind_speed,3,gfs,8.0664,8.9362,-7.8596,1008
Ahmedabad,wind_speed,3,icon,2.1966,2.8023,0.8861,1008
Amritsar,rainfall,1,ecmwf,0.4143,1.182,-0.0593,1008
